Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
21161R-62-01_S274_L008_R1_001	(1, 39.240995045498714)	(2, 39.420585919555265)	(3, 39.461245346116804)	(4, 39.45825544712932)	(5, 39.42132279838571)	(6, 39.45541974111161)	(7, 39.43750559830021)	(8, 39.465998047426304)	(9, 39.50567668014597)	(10, 39.487650238529)	(15, 39.5954644463277)	(20, 39.61606075883536)	(25, 39.52862761421779)	(30, 39.49269046823892)	(35, 39.474961870370876)	(40, 39.458364474632226)	(45, 39.43606819507936)	(50, 39.404697560757356)	(55, 39.37883940569385)	(60, 39.35855204026162)	(65, 39.32741659349763)	(70, 39.293949495922405)	(75, 39.26338373338191)	(80, 39.23738590324651)	(85, 39.2125706728971)	(90, 39.17728826501062)	(95, 39.13105001382992)	(100, 39.10081589451936)	(105, 39.06518287223536)	(110, 39.020352510917306)	(115, 38.977241505679125)	(120, 38.93390351501769)	(125, 38.88916500089408)	(130, 38.84405513422444)	(135, 38.79927714956595)	(140, 38.760530909735834)	(145, 38.714800832737545)	(150, 37.79254341781224)
21161R-62-01_S274_L008_R2_001	(1, 38.5896020391677)	(2, 38.84955879051703)	(3, 38.91325302305226)	(4, 39.10253578785698)	(5, 39.20023837528724)	(6, 39.207593553062395)	(7, 39.29566149754087)	(8, 39.296365126087075)	(9, 39.231050524224756)	(10, 39.35910444866417)	(15, 39.4193695322273)	(20, 39.446429234366235)	(25, 39.329814100168065)	(30, 39.299512143114235)	(35, 39.28891727732226)	(40, 39.2811460949138)	(45, 39.26668107512317)	(50, 39.256690958576144)	(55, 39.250631730029895)	(60, 39.2266154377488)	(65, 39.215677992547214)	(70, 39.19598709065176)	(75, 39.176518971630195)	(80, 39.153102485822885)	(85, 39.127763238157435)	(90, 39.09723651634564)	(95, 39.067083248354585)	(100, 39.03949564870484)	(105, 38.99612199606888)	(110, 38.94968525800295)	(115, 38.90561060341416)	(120, 38.85272625915529)	(125, 38.810735925794916)	(130, 38.750255258611546)	(135, 38.69391505770163)	(140, 38.632284635088425)	(145, 38.54648309445412)	(150, 37.694788417905215)
21161R-62-02_S275_L008_R1_001	(1, 39.28011594468043)	(2, 39.441034077997436)	(3, 39.4721757136334)	(4, 39.46412749399827)	(5, 39.42600049541257)	(6, 39.46519804970691)	(7, 39.44657881015445)	(8, 39.4767568282099)	(9, 39.511325116409395)	(10, 39.49306874878703)	(15, 39.594041282227955)	(20, 39.61491683146437)	(25, 39.526906451876094)	(30, 39.49173988432348)	(35, 39.474256446439476)	(40, 39.45898074914693)	(45, 39.43817010659135)	(50, 39.40799661660551)	(55, 39.38442244227437)	(60, 39.3664205208461)	(65, 39.337283619522225)	(70, 39.30621735601905)	(75, 39.2768394752672)	(80, 39.253527707137245)	(85, 39.22948759835788)	(90, 39.19701186553239)	(95, 39.15205552013606)	(100, 39.12373793842797)	(105, 39.09013362013717)	(110, 39.048335126999135)	(115, 39.007289480893036)	(120, 38.96553472864646)	(125, 38.92256295656064)	(130, 38.87796565968119)	(135, 38.83281978782079)	(140, 38.79196111053712)	(145, 38.74262070641214)	(150, 37.819926762062565)
21161R-62-02_S275_L008_R2_001	(1, 38.91771248056364)	(2, 39.05538700168031)	(3, 39.09895995003986)	(4, 39.264263460053925)	(5, 39.33732529864136)	(6, 39.33631835774353)	(7, 39.426176137536395)	(8, 39.4178416186296)	(9, 39.341571244722296)	(10, 39.456076051212726)	(15, 39.504783204150144)	(20, 39.52913072579378)	(25, 39.42885204398791)	(30, 39.40054979508038)	(35, 39.38853242882424)	(40, 39.38306480434254)	(45, 39.37051548777602)	(50, 39.361305133203054)	(55, 39.354678388146844)	(60, 39.329992148627426)	(65, 39.320851594182265)	(70, 39.30187248401384)	(75, 39.283063052488515)	(80, 39.261116712658)	(85, 39.23727720910668)	(90, 39.208843306901436)	(95, 39.181393235475056)	(100, 39.153959671276496)	(105, 39.11417228045624)	(110, 39.06947366965038)	(115, 39.02667777457384)	(120, 38.97386483692637)	(125, 38.928955103243744)	(130, 38.86195119543485)	(135, 38.79567177876374)	(140, 38.71784788550404)	(145, 38.61170106036756)	(150, 37.766452543563176)
21161R-62-03_S276_L008_R1_001	(1, 39.27619484465863)	(2, 39.43905678201866)	(3, 39.47084734972431)	(4, 39.46281368673734)	(5, 39.42548037801835)	(6, 39.464697088128986)	(7, 39.44766993757805)	(8, 39.47619719604693)	(9, 39.51289717955016)	(10, 39.493145800796114)	(15, 39.59602084461935)	(20, 39.616100676610294)	(25, 39.52875542735286)	(30, 39.49104454900524)	(35, 39.47097563176801)	(40, 39.45346618385277)	(45, 39.42931974370136)	(50, 39.39556925005301)	(55, 39.37064856308783)	(60, 39.349854043803404)	(65, 39.31854721528755)	(70, 39.28488875592054)	(75, 39.252589520266596)	(80, 39.22578880066092)	(85, 39.19900299788533)	(90, 39.163516519395536)	(95, 39.11618769482119)	(100, 39.0862538210481)	(105, 39.048178160851194)	(110, 39.003699353647825)	(115, 38.96000065488522)	(120, 38.91688372597082)	(125, 38.87181715254221)	(130, 38.82371149395321)	(135, 38.776265800664056)	(140, 38.73465526946286)	(145, 38.68659905066571)	(150, 37.75397003111817)
21161R-62-03_S276_L008_R2_001	(1, 38.81791647390392)	(2, 39.014032229718104)	(3, 39.05941732530524)	(4, 39.22377552717502)	(5, 39.30780134380157)	(6, 39.30831029472496)	(7, 39.39489205022228)	(8, 39.39123715735211)	(9, 39.31646819725426)	(10, 39.43305876102521)	(15, 39.48616091089144)	(20, 39.50795035713983)	(25, 39.40450649294781)	(30, 39.37780508412597)	(35, 39.36642804342495)	(40, 39.35729139741221)	(45, 39.341038884450185)	(50, 39.329524708627446)	(55, 39.322408787778144)	(60, 39.297426264016906)	(65, 39.285453749388026)	(70, 39.26451551917963)	(75, 39.24541300232164)	(80, 39.22161331446338)	(85, 39.1951594953759)	(90, 39.163234069824306)	(95, 39.131976263375165)	(100, 39.10630039672772)	(105, 39.063588135676184)	(110, 39.01630266019161)	(115, 38.97139619676754)	(120, 38.91591054766427)	(125, 38.87038007025261)	(130, 38.80399256301022)	(135, 38.73832381251269)	(140, 38.66489221967046)	(145, 38.56342197202582)	(150, 37.70061719900402)
21161R-62-04_S277_L008_R1_001	(1, 39.28167881496012)	(2, 39.44850790910212)	(3, 39.47806888629447)	(4, 39.47007143315372)	(5, 39.43389617863635)	(6, 39.470129777539)	(7, 39.44898734774635)	(8, 39.48044465097141)	(9, 39.51490862595034)	(10, 39.49673381589169)	(15, 39.598913966664526)	(20, 39.61927523589923)	(25, 39.53317952400461)	(30, 39.497613574455414)	(35, 39.48049410351216)	(40, 39.46463420373499)	(45, 39.44344257507284)	(50, 39.41249322847988)	(55, 39.39016877081397)	(60, 39.372746456463105)	(65, 39.344456158566956)	(70, 39.31223430357465)	(75, 39.28260540924548)	(80, 39.25830753619205)	(85, 39.23367699333359)	(90, 39.19979759705245)	(95, 39.155079603036555)	(100, 39.12799895647663)	(105, 39.093450749294774)	(110, 39.05166452726128)	(115, 39.0102669429191)	(120, 38.97074158584178)	(125, 38.92786810216996)	(130, 38.88622843535779)	(135, 38.842960212533775)	(140, 38.80495848503263)	(145, 38.76161453466781)	(150, 37.85879573984519)
21161R-62-04_S277_L008_R2_001	(1, 38.86361539327821)	(2, 39.02569789797997)	(3, 39.068481088041345)	(4, 39.22997567626583)	(5, 39.31281342166522)	(6, 39.31445247165574)	(7, 39.395660179069196)	(8, 39.39015137430734)	(9, 39.31586048055079)	(10, 39.43401589811067)	(15, 39.48768259906747)	(20, 39.51070325077692)	(25, 39.40912005518818)	(30, 39.38361803145911)	(35, 39.37269772488272)	(40, 39.36496610585073)	(45, 39.35038066373614)	(50, 39.340709234080414)	(55, 39.33465535657866)	(60, 39.31135390415726)	(65, 39.30142178057317)	(70, 39.28381690303597)	(75, 39.26586014343506)	(80, 39.24452081135545)	(85, 39.21986367307011)	(90, 39.19078357644273)	(95, 39.16230239761378)	(100, 39.138426419886386)	(105, 39.09888104948331)	(110, 39.056284708317136)	(115, 39.015828991939195)	(120, 38.96776181659049)	(125, 38.929514188199626)	(130, 38.87268040180724)	(135, 38.82104265688848)	(140, 38.762382784694736)	(145, 38.68020809586424)	(150, 37.85187702365397)
