Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
21161R-62-01_S274_L008_R1_001 - illumina_universal_adapter	(1, 7.760389497530599e-05)	(2, 0.00016117732033332782)	(3, 0.001504321656444393)	(4, 0.006578422481752862)	(5, 0.010900362478839134)	(6, 0.014243299493160007)	(7, 0.016789304201388317)	(8, 0.018804020705554914)	(9, 0.020371022431017825)	(10, 0.026175793775170715)	(15, 0.03241634083726186)	(20, 0.036044621403876556)	(25, 0.03810052766768388)	(30, 0.03958634377994186)	(35, 0.04074443267418873)	(40, 0.041888791648555364)	(45, 0.043037329294189894)	(50, 0.04430585450051701)	(55, 0.045825696935956464)	(60, 0.047633867688881094)	(65, 0.049966760162446444)	(70, 0.05319329133430436)	(75, 0.05794026189464)	(80, 0.065538877118799)	(85, 0.07763195176810475)	(90, 0.09793492155275962)	(95, 0.1309303068371449)	(100, 0.18423522838960604)	(105, 0.2683285998439624)	(110, 0.39670872330161117)	(115, 0.5842731587856578)	(120, 0.8459875189655712)	(125, 1.1960324232654924)	(130, 1.646444235796092)	(135, 2.2027925284044434)	(140, 2.582911329819449)
21161R-62-01_S274_L008_R2_001 - illumina_universal_adapter	(1, 7.760389497530599e-05)	(2, 0.00015520778995061198)	(3, 0.0014595501785740243)	(4, 0.006339641266444228)	(5, 0.010494434412814457)	(6, 0.01369410269795015)	(7, 0.01617742733715994)	(8, 0.018111555181159877)	(9, 0.019645724489517846)	(10, 0.025318569212212715)	(15, 0.03146420074121868)	(20, 0.035050097642116085)	(25, 0.03713047898049256)	(30, 0.03873568570040485)	(35, 0.04006330925752085)	(40, 0.04140287187540229)	(45, 0.04279138464242199)	(50, 0.04439121878498985)	(55, 0.0462178950821009)	(60, 0.048424233511552665)	(65, 0.05117499311190813)	(70, 0.054874311090077135)	(75, 0.06012988563902018)	(80, 0.06822039016671495)	(85, 0.08086684028249846)	(90, 0.10179959552252986)	(95, 0.1356510114637966)	(100, 0.1899092670183775)	(105, 0.2753607066348017)	(110, 0.4055812363094417)	(115, 0.5959991073164266)	(120, 0.8617793146400077)	(125, 1.2167926590774634)	(130, 1.673476060228144)	(135, 2.238391225888731)	(140, 2.626393389127151)
21161R-62-02_S275_L008_R1_001 - illumina_universal_adapter	(1, 0.00010113123771357409)	(2, 0.00014680340958422045)	(3, 0.00107655833695095)	(4, 0.004247511983970112)	(5, 0.006827989694661631)	(6, 0.008733171721265736)	(7, 0.010292550160849234)	(8, 0.011747535064728396)	(9, 0.012899126255466837)	(10, 0.016697093576310156)	(15, 0.020944605560280265)	(20, 0.0236529653522096)	(25, 0.025479852227035454)	(30, 0.026735836953478233)	(35, 0.027859372381496127)	(40, 0.028879819193006)	(45, 0.030041849737314875)	(50, 0.03135394598919873)	(55, 0.03299553433814938)	(60, 0.03509775916339543)	(65, 0.03771085985399454)	(70, 0.04191530950448662)	(75, 0.04858801381478806)	(80, 0.05927073481533225)	(85, 0.0768923636422239)	(90, 0.10567953357229232)	(95, 0.15484236429305237)	(100, 0.23533043278069243)	(105, 0.36078601677297467)	(110, 0.5527455026857032)	(115, 0.8320895550385394)	(120, 1.2190607328641518)	(125, 1.7290166301838443)	(130, 2.3762656859850924)	(135, 3.16894863867404)	(140, 3.70856078210854)
21161R-62-02_S275_L008_R2_001 - illumina_universal_adapter	(1, 0.00010439353570433454)	(2, 0.00015332800556574136)	(3, 0.0010569845490063872)	(4, 0.004113757766348933)	(5, 0.0066028911332991595)	(6, 0.008423253412143493)	(7, 0.009920648189902542)	(8, 0.011323436325929538)	(9, 0.012448929132741893)	(10, 0.01611118485716958)	(15, 0.020278444310566985)	(20, 0.022953528662990556)	(25, 0.024812386058125864)	(30, 0.02617602661826373)	(35, 0.027463981865015964)	(40, 0.028704960020701237)	(45, 0.030111010454718996)	(50, 0.031723890581350965)	(55, 0.03371128251732223)	(60, 0.03616518306597225)	(65, 0.03912734964158274)	(70, 0.043734366864134656)	(75, 0.050849438781983204)	(80, 0.06205608483984352)	(85, 0.08035105197202813)	(90, 0.10999098659688133)	(95, 0.16023690025057383)	(100, 0.24200248463139573)	(105, 0.3691838242607902)	(110, 0.5640141324053879)	(115, 0.8472174832812935)	(120, 1.2393802821294024)	(125, 1.7560982707243433)	(130, 2.412336262409333)	(135, 3.216724992748727)	(140, 3.7671288179366624)
21161R-62-03_S276_L008_R1_001 - illumina_universal_adapter	(1, 6.737502295382813e-05)	(2, 0.00016170005508918753)	(3, 0.0011858004039873751)	(4, 0.004830789145789477)	(5, 0.007818871413791754)	(6, 0.009991715904052713)	(7, 0.01197254157889526)	(8, 0.013495217097651774)	(9, 0.014546267455731494)	(10, 0.018610328840306407)	(15, 0.022776800259771135)	(20, 0.025262264856537858)	(25, 0.026800436630573753)	(30, 0.027973435780199906)	(35, 0.028981366123589168)	(40, 0.029888907682777237)	(45, 0.030808576746096987)	(50, 0.031896683366801314)	(55, 0.03327180758528894)	(60, 0.035008061926809095)	(65, 0.03757841905249764)	(70, 0.041099437752064705)	(75, 0.04678184718799057)	(80, 0.05592194280190689)	(85, 0.07106717421169792)	(90, 0.09641904784876437)	(95, 0.13894750983767976)	(100, 0.20860991482079036)	(105, 0.31877616235305384)	(110, 0.48738485229592676)	(115, 0.7326925946192083)	(120, 1.0740299571585812)	(125, 1.5258825698491179)	(130, 2.102561561316442)	(135, 2.8067100537110314)	(140, 3.285947244481152)
21161R-62-03_S276_L008_R2_001 - illumina_universal_adapter	(1, 6.400627180613673e-05)	(2, 0.0001448562993507305)	(3, 0.0011116878787381641)	(4, 0.004615189072337227)	(5, 0.007485365050170305)	(6, 0.00958072826403436)	(7, 0.011521128925104611)	(8, 0.012979798172054989)	(9, 0.014000529769805486)	(10, 0.017904912349979825)	(15, 0.021975037486620587)	(20, 0.024434899574664846)	(25, 0.026008106360636735)	(30, 0.027296316799513932)	(35, 0.028439670939040394)	(40, 0.02958235132833732)	(45, 0.030756697978422544)	(50, 0.032101503436580955)	(55, 0.03382832527488756)	(60, 0.035976241006655606)	(65, 0.03889492700101545)	(70, 0.04289026586217745)	(75, 0.049007917946385045)	(80, 0.05865602123337323)	(85, 0.07444401036214378)	(90, 0.10061920677970601)	(95, 0.1441616628640765)	(100, 0.21518706456154307)	(105, 0.3271104526924423)	(110, 0.4981965222293277)	(115, 0.7472557058306782)	(120, 1.0936643863477857)	(125, 1.552433045144533)	(130, 2.1377003307877813)	(135, 2.852628153104754)	(140, 3.341545113422651)
21161R-62-04_S277_L008_R1_001 - illumina_universal_adapter	(1, 7.343114851856997e-05)	(2, 0.00010680894329973814)	(3, 0.0006308403213640784)	(4, 0.0025033346085876125)	(5, 0.004222291039817774)	(6, 0.005323758267596323)	(7, 0.006184905372950461)	(8, 0.00697262132978603)	(9, 0.007526692723153422)	(10, 0.009739640517144871)	(15, 0.012213602666325058)	(20, 0.01374831367036317)	(25, 0.014897177366730976)	(30, 0.015771008034101957)	(35, 0.016473944392193362)	(40, 0.017209590989170305)	(45, 0.017989296275258398)	(50, 0.018886491398976198)	(55, 0.020067397778333926)	(60, 0.02155070697840904)	(65, 0.02342587148921507)	(70, 0.025951902998253874)	(75, 0.02994789258945533)	(80, 0.03597792499462117)	(85, 0.045573373438311394)	(90, 0.06138376727025513)	(95, 0.08781030251029723)	(100, 0.13157860480684302)	(105, 0.2013722412501613)	(110, 0.31047557416315696)	(115, 0.4709833812627341)	(120, 0.6985865638755199)	(125, 1.0076442493163726)	(130, 1.4124254448542422)	(135, 1.9181778073846236)	(140, 2.267670688535175)
21161R-62-04_S277_L008_R2_001 - illumina_universal_adapter	(1, 6.675558956233634e-05)	(2, 0.00010347116382162132)	(3, 0.0006241647624078447)	(4, 0.0024499301369377436)	(5, 0.004125495434952386)	(6, 0.005160207073168599)	(7, 0.005994651942697803)	(8, 0.006748990104752203)	(9, 0.0072897103802071275)	(10, 0.009437237696427488)	(15, 0.011865806044705282)	(20, 0.013412533054864617)	(25, 0.014602117660865449)	(30, 0.015585427495118664)	(35, 0.016460593274280892)	(40, 0.017360458621581188)	(45, 0.018392500036214905)	(50, 0.019503980602427806)	(55, 0.02094723644876552)	(60, 0.02270357601015059)	(65, 0.024898499794960206)	(70, 0.027799697717339346)	(75, 0.03214548659784744)	(80, 0.03859874944083849)	(85, 0.04856869674197343)	(90, 0.06497855576818694)	(95, 0.09215809405849218)	(100, 0.13684428571152013)	(105, 0.20790294057704467)	(110, 0.3184188217651793)	(115, 0.48115559800024277)	(120, 0.711945024902839)	(125, 1.0254252681521965)	(130, 1.4358012496512855)	(135, 1.9491744302861034)	(140, 2.3063522149070708)
