Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
21161R-62-01_S274_L008_R1_001	(0.0, 0.009899996160281864)	(1.0, 0.005545430469039403)	(2.0, 0.0008416638279166371)	(3.0, 0.00046112433125220013)	(4.0, 0.0004014318611871904)	(5.0, 0.00035367788513518265)	(6.0, 0.0003760625614095613)	(7.0, 0.0003700933144030603)	(8.0, 0.0003447240146254312)	(9.0, 0.00039993954943556517)	(10.0, 0.00048500131927820396)	(11.0, 0.0005879708301403458)	(12.0, 0.0006342324944407284)	(13.0, 0.0007595866815772488)	(14.0, 0.00110431069620268)	(15.0, 0.0017221277613755307)	(16.0, 0.0033666553116665486)	(17.0, 0.006224432316028889)	(18.0, 0.010878952669348022)	(19.0, 0.01837035766250674)	(20.0, 0.030329744040031442)	(21.0, 0.0484762549397944)	(22.0, 0.07464095688103978)	(23.0, 0.11053702375463338)	(24.0, 0.15778809074634345)	(25.0, 0.21471381482383997)	(26.0, 0.28598960870496487)	(27.0, 0.37930237022233965)	(28.0, 0.49396563597021687)	(29.0, 0.6143892250793674)	(30.0, 0.7423594347164869)	(31.0, 0.8865406269115115)	(32.0, 1.0273626253536274)	(33.0, 1.1830599873359442)	(34.0, 1.375805480864109)	(35.0, 1.5830443061240578)	(36.0, 1.8135094714863025)	(37.0, 2.0526031833964438)	(38.0, 2.275066573146474)	(39.0, 2.5019084055757723)	(40.0, 2.693930127904399)	(41.0, 2.8570994948271027)	(42.0, 3.0581840264233495)	(43.0, 3.2200923899159304)	(44.0, 3.2730366262400903)	(45.0, 3.358592351272517)	(46.0, 3.4573789122948533)	(47.0, 3.426017980834449)	(48.0, 3.3975133340666557)	(49.0, 3.4343047879912243)	(50.0, 3.4394368481050632)	(51.0, 3.3690251027281293)	(52.0, 3.2480180197240935)	(53.0, 3.1690299587105697)	(54.0, 3.132962275985539)	(55.0, 3.084797914201834)	(56.0, 2.951119612114748)	(57.0, 2.801334789292371)	(58.0, 2.7211872020478336)	(59.0, 2.6240138300290043)	(60.0, 2.4682985603056684)	(61.0, 2.2915491564431747)	(62.0, 2.1124613000658843)	(63.0, 1.9523586337927699)	(64.0, 1.7805010278521036)	(65.0, 1.5631846213334293)	(66.0, 1.3441311639358628)	(67.0, 1.1451985458854599)	(68.0, 0.9691027745701779)	(69.0, 0.799047881225475)	(70.0, 0.6399868485549953)	(71.0, 0.504358095008535)	(72.0, 0.4004529046781243)	(73.0, 0.31312580559651826)	(74.0, 0.244818219789376)	(75.0, 0.1981387081985384)	(76.0, 0.15963258807135225)	(77.0, 0.1270852687684057)	(78.0, 0.09982968693672226)	(79.0, 0.07597956052224762)	(80.0, 0.05514091922255274)	(81.0, 0.03923884519723414)	(82.0, 0.027107842968272546)	(83.0, 0.018868789787549575)	(84.0, 0.012069817447144965)	(85.0, 0.007449620264113213)	(86.0, 0.004657504976822384)	(87.0, 0.0030368544145573696)	(88.0, 0.001657958356055645)	(89.0, 0.0008491253866747633)	(90.0, 0.000607370882911474)	(91.0, 0.0004969398132912059)	(92.0, 0.0004506781489908234)	(93.0, 0.00042083191395831857)	(94.0, 0.00038949336717418844)	(95.0, 0.00044023196672944673)	(96.0, 0.0005014167485460818)	(97.0, 0.0006775095352378604)	(98.0, 0.0016400506150361423)	(99.0, 0.0022399599391894898)	(100.0, 0.0012207110128294488)
21161R-62-01_S274_L008_R2_001	(0.0, 0.005450315940694626)	(1.0, 0.003006967485432734)	(2.0, 0.00042271427262813115)	(3.0, 0.00022035105700828113)	(4.0, 0.00015589462536640296)	(5.0, 0.00016039158571351072)	(6.0, 0.00015589462536640296)	(7.0, 0.00017088449319009556)	(8.0, 0.0001873733477961574)	(9.0, 0.00019636726849037295)	(10.0, 0.00023983788517908147)	(11.0, 0.00030429431682095964)	(12.0, 0.0003222821582093907)	(13.0, 0.00042571224619286966)	(14.0, 0.0007315055497961985)	(15.0, 0.0012861306592728244)	(16.0, 0.003300768894777109)	(17.0, 0.006842874661515667)	(18.0, 0.010488410516237707)	(19.0, 0.015670407822888234)	(20.0, 0.025214456666233308)	(21.0, 0.0398775453713694)	(22.0, 0.06046313085364644)	(23.0, 0.09216670130075627)	(24.0, 0.13292714988694115)	(25.0, 0.1850034496932316)	(26.0, 0.25261824648556175)	(27.0, 0.3362826947567196)	(28.0, 0.4272951762350516)	(29.0, 0.5237130040506071)	(30.0, 0.6345765674878551)	(31.0, 0.7665923334111158)	(32.0, 0.9142620183026586)	(33.0, 1.0944447265037907)	(34.0, 1.2873793152625381)	(35.0, 1.478506125961748)	(36.0, 1.7077086999199198)	(37.0, 1.989913947515886)	(38.0, 2.2294835140609233)	(39.0, 2.4185357270533343)	(40.0, 2.6065851178883404)	(41.0, 2.7417127803717993)	(42.0, 2.8931943886509073)	(43.0, 3.0539637190335753)	(44.0, 3.133402523565234)	(45.0, 3.239160538021732)	(46.0, 3.3160060954198927)	(47.0, 3.2923281002055873)	(48.0, 3.2863921125474054)	(49.0, 3.284044699246215)	(50.0, 3.275221663045189)	(51.0, 3.2605375885251004)	(52.0, 3.2096649751050523)	(53.0, 3.1817973118340253)	(54.0, 3.1716326824627794)	(55.0, 3.118808388252087)	(56.0, 2.9868091111834323)	(57.0, 2.7983504969568394)	(58.0, 2.661503496634003)	(59.0, 2.590517478568124)	(60.0, 2.4976147747572246)	(61.0, 2.3308689840732506)	(62.0, 2.156728691591849)	(63.0, 1.9918656283065308)	(64.0, 1.8075172358371945)	(65.0, 1.6219471691402272)	(66.0, 1.425903681794846)	(67.0, 1.2518248477715215)	(68.0, 1.0996252248236589)	(69.0, 0.9409439830288314)	(70.0, 0.7946083963735973)	(71.0, 0.664656735249659)	(72.0, 0.5634406507437396)	(73.0, 0.4747351099234739)	(74.0, 0.40513865260485155)	(75.0, 0.33918773114095124)	(76.0, 0.2699420367294033)	(77.0, 0.22861347215270048)	(78.0, 0.1973610967270838)	(79.0, 0.163489991392668)	(80.0, 0.13019299799589965)	(81.0, 0.09747461349712581)	(82.0, 0.06992473542396122)	(83.0, 0.04795558514155734)	(84.0, 0.030967567936966527)	(85.0, 0.019591757245566218)	(86.0, 0.012967734654276461)	(87.0, 0.00894145615683263)	(88.0, 0.00639617660036963)	(89.0, 0.005164009465262098)	(90.0, 0.004750289113328182)	(91.0, 0.004682834708121565)	(92.0, 0.004714313430551321)	(93.0, 0.005006615853113326)	(94.0, 0.005355879773405363)	(95.0, 0.005871531226540388)	(96.0, 0.007725777876331162)	(97.0, 0.0120833324526786)	(98.0, 0.021410028212580128)	(99.0, 0.04656452540751867)	(100.0, 0.47790696595496723)
21161R-62-02_S275_L008_R1_001	(0.0, 0.007186597592470233)	(1.0, 0.0040190141779043705)	(2.0, 0.0006964768887845641)	(3.0, 0.0004550750631636848)	(4.0, 0.0003637338318476764)	(5.0, 0.0003360052437696024)	(6.0, 0.00031153884252424296)	(7.0, 0.00032295649643874407)	(8.0, 0.00034905399110046075)	(9.0, 0.00038493804626032113)	(10.0, 0.0004713859973272577)	(11.0, 0.000517056612985262)	(12.0, 0.0005692516023086952)	(13.0, 0.0007584584386061413)	(14.0, 0.0011254544572865321)	(15.0, 0.0017909405711603078)	(16.0, 0.003438344921681174)	(17.0, 0.006251981064897504)	(18.0, 0.011275748787277967)	(19.0, 0.019043015635971397)	(20.0, 0.030664556227517112)	(21.0, 0.04894095795780058)	(22.0, 0.07535162255545787)	(23.0, 0.11163203341549315)	(24.0, 0.15745760294805128)	(25.0, 0.21345630211842986)	(26.0, 0.2857708287326305)	(27.0, 0.37988491885644626)	(28.0, 0.4932214448920328)	(29.0, 0.6108689508270516)	(30.0, 0.7323103800485176)	(31.0, 0.8678102034255669)	(32.0, 1.0069049566922679)	(33.0, 1.1602440487640169)	(34.0, 1.3468786507438675)	(35.0, 1.543332435090189)	(36.0, 1.758075669914125)	(37.0, 1.985192379394547)	(38.0, 2.2013171503421374)	(39.0, 2.424824250092161)	(40.0, 2.6161351968967077)	(41.0, 2.787501133406038)	(42.0, 3.0020421126463455)	(43.0, 3.1597606905410136)	(44.0, 3.212466212103767)	(45.0, 3.306162742312995)	(46.0, 3.415936960327257)	(47.0, 3.4112361491013155)	(48.0, 3.3948436602669245)	(49.0, 3.4399988504053605)	(50.0, 3.463163639104466)	(51.0, 3.3941961161806313)	(52.0, 3.2813701223843648)	(53.0, 3.217966259103724)	(54.0, 3.184685429036369)	(55.0, 3.1474801882092596)	(56.0, 3.021014991265413)	(57.0, 2.8716313007283305)	(58.0, 2.795113446380177)	(59.0, 2.70764932411485)	(60.0, 2.560581786228995)	(61.0, 2.382205410216161)	(62.0, 2.201157303187334)	(63.0, 2.039481692664583)	(64.0, 1.863098512806538)	(65.0, 1.631892652131308)	(66.0, 1.4009151445343684)	(67.0, 1.195934003807331)	(68.0, 1.0099730434084357)	(69.0, 0.8307436055388475)	(70.0, 0.6586926097946475)	(71.0, 0.5062016862994042)	(72.0, 0.38779082864553005)	(73.0, 0.29248930251460614)	(74.0, 0.21922384843866927)	(75.0, 0.16589198700403485)	(76.0, 0.11901436221792625)	(77.0, 0.08052381977872684)	(78.0, 0.05230916586257838)	(79.0, 0.03226955214921269)	(80.0, 0.018261721889536255)	(81.0, 0.009881163916292481)	(82.0, 0.004907960089819095)	(83.0, 0.0023781342010489336)	(84.0, 0.001045530879885025)	(85.0, 0.0005708826957250525)	(86.0, 0.0004126666343383952)	(87.0, 0.00035231617793317533)	(88.0, 0.00031480102935695754)	(89.0, 0.0003001211886097419)	(90.0, 0.0003001211886097419)	(91.0, 0.0002740236939480252)	(92.0, 0.00027076150711531063)	(93.0, 0.0002968590017770273)	(94.0, 0.0002772858807807398)	(95.0, 0.00032458758985510133)	(96.0, 0.00046649271707818583)	(97.0, 0.000706263449282708)	(98.0, 0.0013277100409148366)	(99.0, 0.001743638862085946)	(100.0, 0.001035744319386881)
21161R-62-02_S275_L008_R2_001	(0.0, 0.004033006280401483)	(1.0, 0.0022078501535044617)	(2.0, 0.0003336306898628964)	(3.0, 0.0002175141262341433)	(4.0, 0.00014882545479178222)	(5.0, 0.00017826345683850839)	(6.0, 0.0001749925677222055)	(7.0, 0.00016517990037329675)	(8.0, 0.00021587868167599183)	(9.0, 0.00026003568474608106)	(10.0, 0.00026003568474608106)	(11.0, 0.0002796610194438985)	(12.0, 0.0004137674732123176)	(13.0, 0.0006181980429812493)	(14.0, 0.001043413628100627)	(15.0, 0.0017597383445709636)	(16.0, 0.004005203722912908)	(17.0, 0.00758519186070644)	(18.0, 0.011531519579525895)	(19.0, 0.017823074794734536)	(20.0, 0.028239221185601144)	(21.0, 0.0443434437497185)	(22.0, 0.06838774964366116)	(23.0, 0.10317529084010071)	(24.0, 0.14565432779352655)	(25.0, 0.20144097711663078)	(26.0, 0.27432619929520846)	(27.0, 0.36106854321500337)	(28.0, 0.4562873962796973)	(29.0, 0.5550584349246961)	(30.0, 0.6647100862150767)	(31.0, 0.793928196199181)	(32.0, 0.9430938234590588)	(33.0, 1.1224284964831563)	(34.0, 1.3059777101336103)	(35.0, 1.490616129859793)	(36.0, 1.7151266879137081)	(37.0, 1.9934989770457834)	(38.0, 2.2241653484165806)	(39.0, 2.4028147701708127)	(40.0, 2.5820954735244914)	(41.0, 2.7135803096661935)	(42.0, 2.865971033594746)	(43.0, 3.030136958341989)	(44.0, 3.109572135975963)	(45.0, 3.2103269688699996)	(46.0, 3.2932865295267906)	(47.0, 3.278922419972546)	(48.0, 3.2934173650914422)	(49.0, 3.307804370869501)	(50.0, 3.3055867080486476)	(51.0, 3.296413499521976)	(52.0, 3.2380771921327134)	(53.0, 3.2081322022729606)	(54.0, 3.202049983961195)	(55.0, 3.161692118599692)	(56.0, 3.04172571848105)	(57.0, 2.863602909874543)	(58.0, 2.7346268456850447)	(59.0, 2.664451555139324)	(60.0, 2.576219321227053)	(61.0, 2.4157723974050467)	(62.0, 2.244035999798121)	(63.0, 2.0742817609956745)	(64.0, 1.8858392972272313)	(65.0, 1.6861825901235437)	(66.0, 1.4763108963096423)	(67.0, 1.2947863630221799)	(68.0, 1.123807176245678)	(69.0, 0.9440865383058568)	(70.0, 0.7843281366428321)	(71.0, 0.6426234074572412)	(72.0, 0.5213208491345898)	(73.0, 0.4177644997124398)	(74.0, 0.333982310442899)	(75.0, 0.2583626249630921)	(76.0, 0.18914734037300632)	(77.0, 0.13750981389393233)	(78.0, 0.09816428871392466)	(79.0, 0.06462622715991281)	(80.0, 0.039932649776384034)	(81.0, 0.02342120151728696)	(82.0, 0.012977252568931778)	(83.0, 0.007513232300147775)	(84.0, 0.005122212356130351)	(85.0, 0.004329021745426896)	(86.0, 0.0041507582885883885)	(87.0, 0.004013380945703666)	(88.0, 0.004023193613052574)	(89.0, 0.004057537948773755)	(90.0, 0.0040035682783547575)	(91.0, 0.0040117455011455146)	(92.0, 0.003931608717796093)	(93.0, 0.004070621505238967)	(94.0, 0.004472940866544224)	(95.0, 0.0048834374506402396)	(96.0, 0.0059546536362294405)	(97.0, 0.00866622071364455)	(98.0, 0.01490053536931789)	(99.0, 0.030816681809247834)	(100.0, 0.28652661569901827)
21161R-62-03_S276_L008_R1_001	(0.0, 0.014245459541884347)	(1.0, 0.007948016502500854)	(2.0, 0.001177296786447997)	(3.0, 0.0006433867988886049)	(4.0, 0.0005928590398135836)	(5.0, 0.0005288572116518899)	(6.0, 0.0004850664871202047)	(7.0, 0.000533909987559392)	(8.0, 0.0005238044357443877)	(9.0, 0.0005440155393743963)	(10.0, 0.00068717752342029)	(11.0, 0.0008471820938245241)	(12.0, 0.000988659819234584)	(13.0, 0.0011537171655463202)	(14.0, 0.001527622582701478)	(15.0, 0.0023849102283410068)	(16.0, 0.004784978784404519)	(17.0, 0.008510558886869425)	(18.0, 0.014610943665860333)	(19.0, 0.02397542168109762)	(20.0, 0.03838425431065787)	(21.0, 0.06048341187143636)	(22.0, 0.09259548702224825)	(23.0, 0.1355743988914614)	(24.0, 0.1893965678581741)	(25.0, 0.2537790384715663)	(26.0, 0.33836082290451613)	(27.0, 0.44815259059863)	(28.0, 0.5738201801941155)	(29.0, 0.698473846090829)	(30.0, 0.8290426283165916)	(31.0, 0.9749533224561666)	(32.0, 1.116614632057532)	(33.0, 1.2715546367438133)	(34.0, 1.455495890880521)	(35.0, 1.6457733260052363)	(36.0, 1.8640734563129584)	(37.0, 2.0912951046146935)	(38.0, 2.292857072599497)	(39.0, 2.5075629949783496)	(40.0, 2.688428792846024)	(41.0, 2.843461431757276)	(42.0, 3.051421898299613)	(43.0, 3.2136429530686046)	(44.0, 3.2569199787163603)	(45.0, 3.3413754437516228)	(46.0, 3.444143852934309)	(47.0, 3.412277679544329)	(48.0, 3.4012053632723553)	(49.0, 3.4756613847866715)	(50.0, 3.495958385607107)	(51.0, 3.3822052416015116)	(52.0, 3.21237133779855)	(53.0, 3.1130994495438555)	(54.0, 3.05865578914052)	(55.0, 3.0101440876525922)	(56.0, 2.8728197440384995)	(57.0, 2.7164632778394813)	(58.0, 2.6545549831621296)	(59.0, 2.566837109149257)	(60.0, 2.4030143244175868)	(61.0, 2.2261435880341107)	(62.0, 2.057911414193827)	(63.0, 1.9110541667009133)	(64.0, 1.753363767662315)	(65.0, 1.541059598098162)	(66.0, 1.3256883935581554)	(67.0, 1.1362682460790796)	(68.0, 0.961826210648476)	(69.0, 0.7916352440147175)	(70.0, 0.631977630889465)	(71.0, 0.4940941134082752)	(72.0, 0.3876590731753786)	(73.0, 0.2977651370050082)	(74.0, 0.2277622953238378)	(75.0, 0.17917480219729728)	(76.0, 0.13999894632779744)	(77.0, 0.10655630685467664)	(78.0, 0.07957785202588692)	(79.0, 0.05821808400623957)	(80.0, 0.039571656648920865)	(81.0, 0.026070639424075167)	(82.0, 0.01594319224680506)	(83.0, 0.009524482585641519)	(84.0, 0.005384574858761439)	(85.0, 0.002967663716339586)	(86.0, 0.0018830011548624614)	(87.0, 0.0012783523045980397)	(88.0, 0.0007798117483911625)	(89.0, 0.0005456997980102303)	(90.0, 0.00043622298668101743)	(91.0, 0.00038737948624183014)	(92.0, 0.00036716838261182164)	(93.0, 0.00034190450307431097)	(94.0, 0.00037222115851932375)	(95.0, 0.0004446442798601877)	(96.0, 0.0005440155393743963)	(97.0, 0.0008050756279286731)	(98.0, 0.001559623496782325)	(99.0, 0.0021726936402259173)	(100.0, 0.0012850893391413757)
21161R-62-03_S276_L008_R2_001	(0.0, 0.008159804034957209)	(1.0, 0.004453259510589482)	(2.0, 0.0005912901474606672)	(3.0, 0.00035815288931903273)	(4.0, 0.0002449630610908479)	(5.0, 0.00022637965645636975)	(6.0, 0.0002449630610908479)	(7.0, 0.00029057687246638507)	(8.0, 0.00032774368173534127)	(9.0, 0.0003530846880550842)	(10.0, 0.00035815288931903273)	(11.0, 0.0004358653086995776)	(12.0, 0.0005608809398769758)	(13.0, 0.0007044799756888521)	(14.0, 0.001115004278068687)	(15.0, 0.001976598492939945)	(16.0, 0.004552934135447138)	(17.0, 0.009006193646036621)	(18.0, 0.01349661996589506)	(19.0, 0.02049411651098673)	(20.0, 0.03163571228956702)	(21.0, 0.0485466105069421)	(22.0, 0.07481678705840888)	(23.0, 0.11296006977088587)	(24.0, 0.16029031197448032)	(25.0, 0.22061711161926023)	(26.0, 0.30034329630201395)	(27.0, 0.3983876497530992)	(28.0, 0.5031270970738605)	(29.0, 0.608434182936184)	(30.0, 0.7233860558038017)	(31.0, 0.8603237857544284)	(32.0, 1.0177083290042448)	(33.0, 1.2052942835859308)	(34.0, 1.3953788613907436)	(35.0, 1.5763102677128649)	(36.0, 1.8005207340282647)	(37.0, 2.0859246624045795)	(38.0, 2.3071364429721433)	(39.0, 2.4723091221642273)	(40.0, 2.6447006093565957)	(41.0, 2.751300086541226)	(42.0, 2.9000669982419085)	(43.0, 3.074519553948283)	(44.0, 3.1321973737324385)	(45.0, 3.2310475711844915)	(46.0, 3.318132784102499)	(47.0, 3.2996727056987765)	(48.0, 3.32842799027)	(49.0, 3.348984614596575)	(50.0, 3.349310668877889)	(51.0, 3.3322511034234386)	(52.0, 3.2272177004293674)	(53.0, 3.157658327482095)	(54.0, 3.143416681930399)	(55.0, 3.082870260230848)	(56.0, 2.9444982293225244)	(57.0, 2.75471943299397)	(58.0, 2.61319498089947)	(59.0, 2.5369269988791503)	(60.0, 2.4390059716588213)	(61.0, 2.2704257718169427)	(62.0, 2.097159175206332)	(63.0, 1.9397019877383994)	(64.0, 1.7683629970085113)	(65.0, 1.5809747022761191)	(66.0, 1.3844805392728328)	(67.0, 1.2144356292656728)	(68.0, 1.0572622610685207)	(69.0, 0.8943922346506906)	(70.0, 0.7435625650355809)	(71.0, 0.6079358098118958)	(72.0, 0.5031845366881852)	(73.0, 0.41476976563860235)	(74.0, 0.34199208488872207)	(75.0, 0.27489585775572817)	(76.0, 0.2138814721394726)	(77.0, 0.17628386576308072)	(78.0, 0.14614834104764246)	(79.0, 0.11552289021002253)	(80.0, 0.08573369258095412)	(81.0, 0.058821543869387184)	(82.0, 0.03927011279349489)	(83.0, 0.02507239165275361)	(84.0, 0.015121823171201237)	(85.0, 0.009393066342518028)	(86.0, 0.006622449651559474)	(87.0, 0.005319921926724689)	(88.0, 0.004566449338817668)	(89.0, 0.0042724936655086495)	(90.0, 0.004191402445285473)	(91.0, 0.004064697413686758)	(92.0, 0.0041373416318033545)	(93.0, 0.004416092701320527)	(94.0, 0.004826617003700361)	(95.0, 0.005328368928831271)	(96.0, 0.00645519900984917)	(97.0, 0.009442058954736198)	(98.0, 0.016248653252219136)	(99.0, 0.03393329686255704)	(100.0, 0.325866757867259)
21161R-62-04_S277_L008_R1_001	(0.0, 0.008921504875303696)	(1.0, 0.005061527176729538)	(2.0, 0.0008544351844660479)	(3.0, 0.00045558751046724825)	(4.0, 0.0003988476739987997)	(5.0, 0.00039217239912015873)	(6.0, 0.00037381539320389593)	(7.0, 0.00035545838728763324)	(8.0, 0.00033209492521238973)	(9.0, 0.00035545838728763324)	(10.0, 0.0004822886099818122)	(11.0, 0.0005256778966929787)	(12.0, 0.0005557166336468632)	(13.0, 0.0006825468563410422)	(14.0, 0.0010229858751517331)	(15.0, 0.0016671499009405896)	(16.0, 0.003155736198877532)	(17.0, 0.005645613728610626)	(18.0, 0.009946159569175089)	(19.0, 0.016676505465564876)	(20.0, 0.027310218347239987)	(21.0, 0.043325871599819404)	(22.0, 0.0670798372554634)	(23.0, 0.09990550147118052)	(24.0, 0.14137898429217705)	(25.0, 0.19136010494600153)	(26.0, 0.2558382538175146)	(27.0, 0.34227471940231724)	(28.0, 0.4436120673349663)	(29.0, 0.5502178759655827)	(30.0, 0.6679613807312117)	(31.0, 0.7984863680707184)	(32.0, 0.9288144348013052)	(33.0, 1.0730053786361098)	(34.0, 1.2512018415214314)	(35.0, 1.4459095968190714)	(36.0, 1.6636887709160144)	(37.0, 1.8935919130112888)	(38.0, 2.114498453388875)	(39.0, 2.343874248768737)	(40.0, 2.5382432338662864)	(41.0, 2.718025074535285)	(42.0, 2.9472206374934236)	(43.0, 3.1266520262312936)	(44.0, 3.187712434364943)	(45.0, 3.2916648212312993)	(46.0, 3.4263001090773293)	(47.0, 3.4217692662534516)	(48.0, 3.4190807992960788)	(49.0, 3.4956912602595223)	(50.0, 3.5328925671581883)	(51.0, 3.4675566454647697)	(52.0, 3.3513818302956215)	(53.0, 3.2936857607008077)	(54.0, 3.2738334932117295)	(55.0, 3.240537222117068)	(56.0, 3.1175853341273796)	(57.0, 2.9765017307485824)	(58.0, 2.9057688493157827)	(59.0, 2.8146980741464835)	(60.0, 2.6529828649365266)	(61.0, 2.4662687513060595)	(62.0, 2.2781845375067507)	(63.0, 2.111851706899494)	(64.0, 1.9311303212913264)	(65.0, 1.685099715089255)	(66.0, 1.4416841478208915)	(67.0, 1.2282806164068978)	(68.0, 1.0308076284907808)	(69.0, 0.8361032108305801)	(70.0, 0.6532457372612475)	(71.0, 0.49311423701624824)	(72.0, 0.3686003347049577)	(73.0, 0.2716453047301365)	(74.0, 0.19848929851639013)	(75.0, 0.14350339052230454)	(76.0, 0.09831511723134431)	(77.0, 0.0650939429790677)	(78.0, 0.04053727551926713)	(79.0, 0.02352033103489156)	(80.0, 0.012240785308707933)	(81.0, 0.0061362464321907395)	(82.0, 0.0030689576254551995)	(83.0, 0.0015253003097694684)	(84.0, 0.0006908909499393434)	(85.0, 0.0004589251479065688)	(86.0, 0.000353789568567973)	(87.0, 0.00037715303064321645)	(88.0, 0.0003721465744842357)	(89.0, 0.000313737919296127)	(90.0, 0.00027368627002428097)	(91.0, 0.0002853680010619027)	(92.0, 0.000320413194174768)	(93.0, 0.00028870563850122324)	(94.0, 0.00033376374393204996)	(95.0, 0.00044724341686894697)	(96.0, 0.0005974371016383695)	(97.0, 0.0007943577105582789)	(98.0, 0.0015469949531250516)	(99.0, 0.0020075889197512806)	(100.0, 0.0011097644485740662)
21161R-62-04_S277_L008_R2_001	(0.0, 0.004843341743130743)	(1.0, 0.0026978116413015753)	(2.0, 0.00041170078397033963)	(3.0, 0.00022425977663425003)	(4.0, 0.00017739952480022765)	(5.0, 0.0001673580422643657)	(6.0, 0.000170705203109653)	(7.0, 0.00019413532902666421)	(8.0, 0.00020082965071723883)	(9.0, 0.00020250323113988247)	(10.0, 0.00021254471367574443)	(11.0, 0.00023932200043804295)	(12.0, 0.0003179802803022948)	(13.0, 0.0004719496791855112)	(14.0, 0.0007681734139934385)	(15.0, 0.001415849037556534)	(16.0, 0.0034040625796571983)	(17.0, 0.006525290067887619)	(18.0, 0.00969337780795206)	(19.0, 0.014647175858977285)	(20.0, 0.023205866140376948)	(21.0, 0.0361610521920615)	(22.0, 0.05594946710940009)	(23.0, 0.08469153728788226)	(24.0, 0.12108354357826857)	(25.0, 0.17076377842444554)	(26.0, 0.23447531153406692)	(27.0, 0.31300305212535257)	(28.0, 0.39704189304840376)	(29.0, 0.4843040498654667)	(30.0, 0.5862870200801032)	(31.0, 0.7090407969201702)	(32.0, 0.8509118829280956)	(33.0, 1.0260269704514147)	(34.0, 1.2119935534351554)	(35.0, 1.3943736535731703)	(36.0, 1.6165381075182708)	(37.0, 1.8948026508108087)	(38.0, 2.12793240368507)	(39.0, 2.317207655164377)	(40.0, 2.5039457587229563)	(41.0, 2.6391827719355225)	(42.0, 2.7995653309983095)	(43.0, 2.974251981933431)	(44.0, 3.064601894630272)	(45.0, 3.1786965663635804)	(46.0, 3.2781390414966443)	(47.0, 3.2848082594808794)	(48.0, 3.3210914830437934)	(49.0, 3.3548291907838674)	(50.0, 3.3616272744606457)	(51.0, 3.358424041531706)	(52.0, 3.3198898523003355)	(53.0, 3.3093379277355672)	(54.0, 3.314266622080253)	(55.0, 3.28039670148679)	(56.0, 3.156575180337077)	(57.0, 2.9705466748776983)	(58.0, 2.841925325075843)	(59.0, 2.7741453179587747)	(60.0, 2.6824732767280457)	(61.0, 2.516203061738399)	(62.0, 2.33527060866597)	(63.0, 2.1564251103805785)	(64.0, 1.9591802689286422)	(65.0, 1.750622023819635)	(66.0, 1.5341360282485648)	(67.0, 1.3438767114807433)	(68.0, 1.1627099571491448)	(69.0, 0.9689143649482772)	(70.0, 0.7937457228514336)	(71.0, 0.6401495324024667)	(72.0, 0.513862827290199)	(73.0, 0.40583655816939623)	(74.0, 0.31510004839492506)	(75.0, 0.23525520001101888)	(76.0, 0.16564764307242386)	(77.0, 0.11506869553928728)	(78.0, 0.07769764470165443)	(79.0, 0.04907774589402524)	(80.0, 0.029749565592913647)	(81.0, 0.017485568255780928)	(82.0, 0.009974539318956196)	(83.0, 0.006214004109275898)	(84.0, 0.0047362325960815495)	(85.0, 0.004373065644367876)	(86.0, 0.004260935756050751)	(87.0, 0.004115334259280752)	(88.0, 0.004098598455054316)	(89.0, 0.004212401923794084)	(90.0, 0.004282692301545118)	(91.0, 0.004275997979854543)	(92.0, 0.004418252315779254)	(93.0, 0.004625776288187068)	(94.0, 0.004756315561153273)	(95.0, 0.005156301282165107)	(96.0, 0.006537005130846124)	(97.0, 0.009673294842880337)	(98.0, 0.016309041218662435)	(99.0, 0.03370423613162061)	(100.0, 0.3067605971488917)
