Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
21161R-62-01_S274_L008_R1_001	(1.0, 25.596550746723914)	(2.0, 11.150951121091529)	(3.0, 6.6622660704789975)	(4.0, 4.674836260778604)	(5.0, 3.6527963764643547)	(6.0, 2.9290951227966664)	(7.0, 2.4032431631071445)	(8.0, 2.0078088457685084)	(9.0, 1.72657248862829)	('>10', 20.241525542558154)	('>50', 5.588859958534517)	('>100', 9.2750934157234)	('>500', 2.3315120592109744)	('>1k', 1.7071560750982289)	('>5k', 0.05173275303640435)	('>10k+', 0.0)
21161R-62-01_S274_L008_R2_001	(1.0, 24.25909758954119)	(2.0, 10.648641731051091)	(3.0, 6.774465804488244)	(4.0, 4.842881448529266)	(5.0, 3.614171438830329)	(6.0, 2.972856975324921)	(7.0, 2.421149719225183)	(8.0, 2.0341266732546246)	(9.0, 1.822825752194069)	('>10', 19.744528409698248)	('>50', 5.617999898259772)	('>100', 9.407675147224543)	('>500', 2.4415828682815865)	('>1k', 2.156180182360555)	('>5k', 0.14702674337533952)	('>10k+', 1.0947896183608525)
21161R-62-02_S275_L008_R1_001	(1.0, 28.390328641442952)	(2.0, 11.719211943155805)	(3.0, 6.8585201700184895)	(4.0, 4.777276958998845)	(5.0, 3.6022121544062506)	(6.0, 2.8284558703797047)	(7.0, 2.3369077457342646)	(8.0, 1.985861169240403)	(9.0, 1.7251085613708341)	('>10', 18.57627133371153)	('>50', 5.043495367100078)	('>100', 8.483208953902619)	('>500', 2.1122373196811686)	('>1k', 1.542109153157409)	('>5k', 0.018794657699606174)	('>10k+', 0.0)
21161R-62-02_S275_L008_R2_001	(1.0, 26.63244931481412)	(2.0, 11.282032926893885)	(3.0, 7.098712403735701)	(4.0, 4.954129699661085)	(5.0, 3.7534925280099474)	(6.0, 2.8131269338987632)	(7.0, 2.2988202780043565)	(8.0, 2.067056808888658)	(9.0, 1.6871931292865558)	('>10', 18.520503963837523)	('>50', 5.160700634048863)	('>100', 8.836444761498473)	('>500', 2.221712422099898)	('>1k', 1.9199079550220326)	('>5k', 0.08783650707207669)	('>10k+', 0.665879733227947)
21161R-62-03_S276_L008_R1_001	(1.0, 26.864867096438545)	(2.0, 11.094655408828439)	(3.0, 6.505324523548309)	(4.0, 4.349340965597641)	(5.0, 3.431314972951014)	(6.0, 2.7232302636285235)	(7.0, 2.208993876535369)	(8.0, 1.8292794958570884)	(9.0, 1.6446349581061737)	('>10', 18.54345336144997)	('>50', 5.283023326656141)	('>100', 9.358322914947552)	('>500', 2.8979050159702338)	('>1k', 3.051621851461844)	('>5k', 0.21403196802324748)	('>10k+', 0.0)
21161R-62-03_S276_L008_R2_001	(1.0, 25.56521789895995)	(2.0, 10.815136872510081)	(3.0, 6.624044992792028)	(4.0, 4.694089306514815)	(5.0, 3.4830228538892443)	(6.0, 2.728481770125146)	(7.0, 2.2725127212535385)	(8.0, 1.9033620257583335)	(9.0, 1.6261037427959504)	('>10', 18.18958968190627)	('>50', 5.243182661907551)	('>100', 9.570803110331786)	('>500', 2.935672097217996)	('>1k', 3.3444804976120053)	('>5k', 0.22049810581192064)	('>10k+', 0.783801660613472)
21161R-62-04_S277_L008_R1_001	(1.0, 25.10559621436269)	(2.0, 11.547890728873869)	(3.0, 6.7421878834746085)	(4.0, 4.749567830482419)	(5.0, 3.563915704527913)	(6.0, 2.9157229888212974)	(7.0, 2.3429517827453283)	(8.0, 1.9539947045392883)	(9.0, 1.7462213010826202)	('>10', 19.57222239128605)	('>50', 5.6581646758326665)	('>100', 9.651922419736646)	('>500', 2.4888832497952245)	('>1k', 1.9397267106565415)	('>5k', 0.021031413782935632)	('>10k+', 0.0)
21161R-62-04_S277_L008_R2_001	(1.0, 23.477340072931675)	(2.0, 10.880941408760773)	(3.0, 6.853446619099067)	(4.0, 4.833922173834709)	(5.0, 3.670954462574382)	(6.0, 2.9387942006492014)	(7.0, 2.448851532841309)	(8.0, 2.0531818181384143)	(9.0, 1.7238853951910393)	('>10', 19.520833574731856)	('>50', 5.799439784685443)	('>100', 10.067018723058796)	('>500', 2.6516305700555263)	('>1k', 2.2494634074457105)	('>5k', 0.107978289836359)	('>10k+', 0.7223179661656923)
