Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
21161R-62-01_S274_L008_R1_001	(1, 0.00034324799700616114)	(2, 0.0005730749167407212)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 9.849725131481145e-05)	(7, 0.0)	(8, 0.0018744325401727755)	(9, 0.0)	(10, 0.0002942978478678912)	(15, 0.0007002259138925687)	(20, 0.0001319266214580202)	(25, 0.0)	(30, 1.1939060765431691e-06)	(35, 0.0003056399555950513)	(40, 0.00038801947487653)	(45, 5.9098350788886866e-05)	(50, 0.001101975308649345)	(55, 0.0011348077257542822)	(60, 0.0)	(65, 1.4326872918518029e-05)	(70, 1.1939060765431691e-06)	(75, 0.001559241335965379)	(80, 0.002061875794190053)	(85, 0.0015455114160851326)	(90, 0.0027967249843023735)	(95, 0.025252307424964572)	(100, 0.010706949694439142)	(105, 4.23836657172825e-05)	(110, 0.00011521193638641583)	(115, 0.0)	(120, 0.0004805471958086256)	(125, 0.00017669809932838903)	(130, 0.002832542166598669)	(135, 0.0021932054626098017)	(140, 0.0014637288498419254)	(145, 0.019556778486815383)	(150, 0.04342534876906642)
21161R-62-01_S274_L008_R2_001	(1, 0.11646852253197751)	(2, 0.25543023554602834)	(3, 0.3049862920181439)	(4, 0.015455114160851324)	(5, 0.0003522022925802349)	(6, 0.004930832096123289)	(7, 0.0008029018364752813)	(8, 0.0)	(9, 0.30786360566261295)	(10, 0.03375112783083712)	(15, 0.0020982899295246197)	(20, 0.0024451196447604104)	(25, 0.0015855072696493286)	(30, 0.0)	(35, 5.969530382715845e-06)	(40, 0.00016475903856295735)	(45, 0.017090168532677193)	(50, 0.0017801139601258651)	(55, 0.00019162192528517864)	(60, 0.0184912173135006)	(65, 0.0009754212645357692)	(70, 0.0)	(75, 0.0028140366224122496)	(80, 0.0005193491432962786)	(85, 0.00023042387277283165)	(90, 0.0007963353530542937)	(95, 0.0)	(100, 0.0003336967483938158)	(105, 1.3729919880246445e-05)	(110, 0.0015681956315394528)	(115, 0.002726881478824598)	(120, 0.0033483095916653177)	(125, 0.00023281168492591796)	(130, 0.0026474867247344774)	(135, 0.00017550419325184586)	(140, 0.00029071612963826166)	(145, 0.0027728468627715103)	(150, 0.08470166660035514)
21161R-62-02_S275_L008_R1_001	(1, 0.0003294920970668059)	(2, 0.0005284922745031936)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 6.524595981520909e-05)	(7, 0.0)	(8, 0.0018758213446872613)	(9, 0.0)	(10, 0.00031057076872039526)	(15, 0.0007242301539488209)	(20, 0.00014354111159346)	(25, 0.0)	(30, 6.524595981520909e-07)	(35, 0.00030339371314072226)	(40, 0.00040517741045244845)	(45, 5.937382343184027e-05)	(50, 0.0011072239380640982)	(55, 0.0011842141706460449)	(60, 0.0)	(65, 1.631148995380227e-05)	(70, 1.9573787944562725e-06)	(75, 0.0016474604853340294)	(80, 0.0021505068355092915)	(85, 0.001642893268146965)	(90, 0.0029399829492733217)	(95, 0.025590770358721312)	(100, 0.01091825891547709)	(105, 2.8055762720539906e-05)	(110, 0.00011940010646183264)	(115, 0.0)	(120, 0.00045802663790276777)	(125, 0.0001644198187343269)	(130, 0.002863645176289527)	(135, 0.002322103709823291)	(140, 0.001548939086013064)	(145, 0.019803453723112263)	(150, 0.04309821875593636)
21161R-62-02_S275_L008_R2_001	(1, 0.11691749769086393)	(2, 0.25733659010716614)	(3, 0.3063428305243697)	(4, 0.01573080091144691)	(5, 0.0003490658850113686)	(6, 0.005585054160181898)	(7, 0.0008547220735792391)	(8, 0.0)	(9, 0.3083426191927059)	(10, 0.03385286625012124)	(15, 0.0022398938004561278)	(20, 0.0024291070839202343)	(25, 0.001652680162119246)	(30, 0.0)	(35, 7.82951517782509e-06)	(40, 0.00016637719752878318)	(45, 0.016558119681903762)	(50, 0.0018190573596480295)	(55, 0.00021009199060497327)	(60, 0.01862315431005513)	(65, 0.0010139222155283493)	(70, 0.0)	(75, 0.002781435266922363)	(80, 0.0005147906229419997)	(85, 0.00023749529372736107)	(90, 0.0008103548209048969)	(95, 0.0)	(100, 0.00033993145063723935)	(105, 1.6963949551954362e-05)	(110, 0.0016605096772970714)	(115, 0.00278665494370758)	(120, 0.003447596516635648)	(125, 0.0002205313441754067)	(130, 0.0027044450343404166)	(135, 0.000172249333912152)	(140, 0.0002779477888127907)	(145, 0.0028551632015135497)	(150, 0.08313640199653942)
21161R-62-03_S276_L008_R1_001	(1, 0.0003031876032922266)	(2, 0.0005356314324829336)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 6.737502295382813e-05)	(7, 0.0)	(8, 0.0019673506702517812)	(9, 0.0)	(10, 0.0002984713516854586)	(15, 0.0007020477391788891)	(20, 0.00014148754820303907)	(25, 0.0)	(30, 0.0)	(35, 0.0002775850945697719)	(40, 0.000397512635427586)	(45, 5.457376859260079e-05)	(50, 0.0010651991129000226)	(55, 0.0011723253993966096)	(60, 0.0)	(65, 1.6170005508918753e-05)	(70, 0.0)	(75, 0.0015913980421694202)	(80, 0.002152631983374809)	(85, 0.0016257593038758729)	(90, 0.0029234022459666024)	(95, 0.025467084926317496)	(100, 0.010883761207961397)	(105, 3.705626262460547e-05)	(110, 0.00011521128925104612)	(115, 0.0)	(120, 0.00046825640952910557)	(125, 0.00016709005692549378)	(130, 0.002841878468192471)	(135, 0.0023022045343323075)	(140, 0.00155636303023343)	(145, 0.019682265455501814)	(150, 0.04273092393289164)
21161R-62-03_S276_L008_R2_001	(1, 0.11736392123442092)	(2, 0.25509194315663636)	(3, 0.3053705540359306)	(4, 0.015526574039709693)	(5, 0.0004008813865752774)	(6, 0.004800470385460254)	(7, 0.0008186065288890117)	(8, 0.0)	(9, 0.30799481117998223)	(10, 0.033829672775346646)	(15, 0.0021856457446221846)	(20, 0.0025528396197205478)	(25, 0.001645971810762021)	(30, 0.0)	(35, 7.411252524921095e-06)	(40, 0.00017450130945041487)	(45, 0.0169259532664607)	(50, 0.0017948706114899815)	(55, 0.00019471381633656332)	(60, 0.0180962574151687)	(65, 0.0010139940954551135)	(70, 0.0)	(75, 0.0028688284773740022)	(80, 0.0004999226703174047)	(85, 0.00024052883194516643)	(90, 0.0008111952763640907)	(95, 0.0)	(100, 0.000354392620737136)	(105, 1.3475004590765628e-05)	(110, 0.0016230643029577195)	(115, 0.002775850945697719)	(120, 0.00341052366192278)	(125, 0.00021829507437040317)	(130, 0.0026067396380836105)	(135, 0.00017113255830272347)	(140, 0.0002890388484719227)	(145, 0.002817623459929092)	(150, 0.08343049092372537)
21161R-62-04_S277_L008_R1_001	(1, 0.00032376460937733124)	(2, 0.000600800306061027)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 4.6728912693635435e-05)	(7, 0.0)	(8, 0.0019726276715670388)	(9, 0.0)	(10, 0.00029572726176115)	(15, 0.0007102794729432586)	(20, 0.000163551194427724)	(25, 0.0)	(30, 6.675558956233634e-07)	(35, 0.0003090783796736172)	(40, 0.0004238979937208357)	(45, 6.94258131448298e-05)	(50, 0.0011515339199503019)	(55, 0.0011755659321927429)	(60, 0.0)	(65, 2.1361788659947628e-05)	(70, 1.3351117912467268e-06)	(75, 0.0016615466242065513)	(80, 0.0021121468537523215)	(85, 0.001662214180102175)	(90, 0.0029679535119414733)	(95, 0.025492624542065)	(100, 0.010812402841411616)	(105, 4.2056021424271894e-05)	(110, 0.00013017339964655587)	(115, 0.0)	(120, 0.0004866482479094319)	(125, 0.0001769023123401913)	(130, 0.002882506357301683)	(135, 0.0023124136224393307)	(140, 0.0015627483516542937)	(145, 0.019736290054104738)	(150, 0.043159157541789506)
21161R-62-04_S277_L008_R2_001	(1, 0.11691240177999773)	(2, 0.25748298450088747)	(3, 0.3055169689704666)	(4, 0.015537363470633782)	(5, 0.0003738313015490835)	(6, 0.004816415786922567)	(7, 0.0008344448695292042)	(8, 0.0)	(9, 0.3087345883873712)	(10, 0.03391517727714497)	(15, 0.002198929120183359)	(20, 0.002513347947021963)	(25, 0.0016315066089035001)	(30, 0.0)	(35, 1.4686229703713993e-05)	(40, 0.0001822427595051782)	(45, 0.016845105470159952)	(50, 0.001795057803331224)	(55, 0.00018491298308767165)	(60, 0.018356452017851244)	(65, 0.0010567409827717843)	(70, 0.0)	(75, 0.0028671525717023456)	(80, 0.0005293718252293271)	(85, 0.0002423227901112809)	(90, 0.0008084101895998929)	(95, 0.0)	(100, 0.00036381796311473304)	(105, 1.6688897390584084e-05)	(110, 0.0016655519595802917)	(115, 0.0028664850158067225)	(120, 0.003427231968130348)	(125, 0.0002329770075725538)	(130, 0.002752332957655127)	(135, 0.00018357787129642494)	(140, 0.0003117486032561107)	(145, 0.0028297694415474373)	(150, 0.0844358074579211)
